2.6651 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
9.3395 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
10.0556 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fbb7c07ac40>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fbb48b7e7f0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1440,  900]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.0559 	EXP 	window1: mouseVisible = True
10.0569 	EXP 	window1: mouseVisible = False
10.0569 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
10.0570 	EXP 	window1: recordFrameIntervals = False
10.2219 	EXP 	window1: recordFrameIntervals = True
10.4061 	EXP 	Screen (0) actual frame rate measured at 59.80Hz
10.4062 	EXP 	window1: recordFrameIntervals = False
13.4746 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
13.4800 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask='circle', maskParams=None, name='grating', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.1, 0.1]), tex='sin', texRes=128.0, units='height', win=Window(...))
13.4898 	EXP 	Imported /Users/chandamandhani/Documents/conditions.xlsx as conditions, 1 conditions, 5 params
13.7798 	EXP 	window1: recordFrameIntervals = False
13.7983 	EXP 	window1: recordFrameIntervals = False
14.8005 	EXP 	fixation: autoDraw = True
15.4854 	EXP 	grating: autoDraw = True
15.4854 	EXP 	grating: tex = 'sin'
15.7861 	EXP 	grating: autoDraw = False
15.8029 	EXP 	fixation: autoDraw = False
16.2737 	EXP 	window1: recordFrameIntervals = False
16.2945 	DATA 	Keypress: right
16.3037 	EXP 	fixation: autoDraw = False
16.3037 	EXP 	grating: autoDraw = False
16.3038 	EXP 	window1: recordFrameIntervals = False
17.2899 	EXP 	fixation: autoDraw = True
18.2756 	EXP 	grating: autoDraw = True
18.2756 	EXP 	grating: tex = 'sin'
18.2924 	EXP 	fixation: autoDraw = False
18.5764 	EXP 	grating: autoDraw = False
18.7630 	EXP 	window1: recordFrameIntervals = False
18.7649 	DATA 	Keypress: left
18.7771 	EXP 	fixation: autoDraw = False
18.7771 	EXP 	grating: autoDraw = False
18.7773 	EXP 	window1: recordFrameIntervals = False
19.7799 	EXP 	fixation: autoDraw = True
20.7663 	EXP 	grating: autoDraw = True
20.7663 	EXP 	grating: tex = 'sin'
20.7825 	EXP 	fixation: autoDraw = False
21.0667 	EXP 	grating: autoDraw = False
21.2353 	EXP 	window1: recordFrameIntervals = False
21.2400 	DATA 	Keypress: left
21.2503 	EXP 	fixation: autoDraw = False
21.2503 	EXP 	grating: autoDraw = False
21.2505 	EXP 	window1: recordFrameIntervals = False
22.2534 	EXP 	fixation: autoDraw = True
23.2394 	EXP 	grating: autoDraw = True
23.2394 	EXP 	grating: tex = 'sin'
23.2562 	EXP 	fixation: autoDraw = False
23.5403 	EXP 	grating: autoDraw = False
23.6770 	EXP 	window1: recordFrameIntervals = False
23.6789 	DATA 	Keypress: left
23.6900 	EXP 	fixation: autoDraw = False
23.6900 	EXP 	grating: autoDraw = False
23.6902 	EXP 	window1: recordFrameIntervals = False
24.6931 	EXP 	fixation: autoDraw = True
25.6790 	EXP 	grating: autoDraw = True
25.6790 	EXP 	grating: tex = 'sin'
25.6959 	EXP 	fixation: autoDraw = False
25.9798 	EXP 	grating: autoDraw = False
26.1324 	EXP 	window1: recordFrameIntervals = False
26.1347 	DATA 	Keypress: left
26.1463 	EXP 	fixation: autoDraw = False
26.1463 	EXP 	grating: autoDraw = False
26.1464 	EXP 	window1: recordFrameIntervals = False
27.1494 	EXP 	fixation: autoDraw = True
28.1358 	EXP 	grating: autoDraw = True
28.1358 	EXP 	grating: tex = 'sin'
28.1522 	EXP 	fixation: autoDraw = False
